Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Vehicle_Age
0.94,45000,Petrol,Individual,Manual,0,15
92.6,78000,Diesel,Dealer,Manual,0,15
13.6,35934,Diesel,Dealer,Manual,0,9
0.84,58000,Petrol,Individual,Manual,0,10
9.9,38000,Petrol,Dealer,Manual,0,15
13.6,49562,Petrol,Dealer,Manual,0,9
0.95,1300,Petrol,Individual,Manual,0,8
0.95,16600,Petrol,Individual,Manual,0,10
8.1,3435,Petrol,Dealer,Manual,0,8
15.04,70000,Petrol,Dealer,Automatic,0,16
0.787,15000,Petrol,Individual,Manual,0,11
0.52,22000,Petrol,Individual,Automatic,0,15
7.6,17000,Petrol,Dealer,Manual,0,9
3.76,10079,Petrol,Dealer,Manual,0,9
0.51,33000,Petrol,Individual,Manual,0,15
5.7,53000,Diesel,Dealer,Manual,0,12
5.7,21125,Diesel,Dealer,Manual,0,10
2.4,7000,Petrol,Individual,Manual,0,11
0.83,5500,Petrol,Individual,Manual,0,13
1.9,14000,Petrol,Individual,Manual,0,10
8.4,4000,Petrol,Dealer,Manual,0,9
10.0,27600,Petrol,Dealer,Manual,0,10
0.84,23000,Petrol,Individual,Manual,0,10
0.52,19000,Petrol,Individual,Automatic,0,11
0.51,60000,Petrol,Individual,Manual,0,13
9.85,6900,Petrol,Dealer,Manual,0,8
1.47,17500,Petrol,Individual,Manual,0,10
9.4,36000,Petrol,Dealer,Manual,0,10
1.05,213000,Petrol,Individual,Manual,0,15
1.26,5700,Petrol,Individual,Manual,0,9
9.4,15001,Petrol,Dealer,Manual,0,8
5.97,5600,Petrol,Dealer,Manual,0,9
0.8,7000,Petrol,Individual,Manual,0,9
8.93,83000,Diesel,Dealer,Manual,0,11
10.38,45000,Diesel,Dealer,Manual,0,10
13.46,38000,Diesel,Dealer,Manual,0,10
9.4,71000,Diesel,Dealer,Manual,0,13
1.5,15000,Petrol,Individual,Manual,0,12
0.51,4300,Petrol,Individual,Automatic,0,8
11.8,9010,Petrol,Dealer,Manual,0,9
9.9,54242,Petrol,Dealer,Manual,0,12
0.75,49000,Petrol,Individual,Manual,1,18
9.4,45078,Petrol,Dealer,Manual,0,11
6.95,45000,Diesel,Dealer,Manual,0,11
0.75,92233,Petrol,Individual,Manual,0,19
23.73,142000,Petrol,Individual,Automatic,3,19
9.4,36100,Petrol,Dealer,Manual,0,13
0.51,4000,Petrol,Individual,Automatic,0,8
9.94,15000,Petrol,Dealer,Automatic,0,10
7.74,49998,CNG,Dealer,Manual,0,14
3.95,44542,Petrol,Dealer,Manual,0,15
0.84,29000,Petrol,Individual,Manual,0,10
0.65,24000,Petrol,Individual,Manual,1,12
0.82,18000,Petrol,Individual,Manual,0,10
0.64,13700,Petrol,Individual,Manual,0,11
30.61,40000,Diesel,Dealer,Automatic,0,10
18.61,72000,Petrol,Dealer,Manual,0,13
4.6,35775,Petrol,Dealer,Manual,0,13
7.6,77632,Diesel,Dealer,Manual,0,11
3.98,46706,Petrol,Dealer,Manual,0,11
6.76,40000,Petrol,Dealer,Manual,0,11
9.4,36000,Petrol,Dealer,Manual,0,13
1.2,23500,Petrol,Individual,Manual,0,11
5.87,55138,Petrol,Dealer,Manual,0,12
6.8,33019,Petrol,Dealer,Manual,0,11
0.8,20000,Petrol,Individual,Manual,0,9
5.7,28200,Petrol,Dealer,Manual,0,10
5.59,27000,Petrol,Dealer,Manual,0,11
10.0,18828,Petrol,Dealer,Manual,0,10
7.5,61203,Petrol,Dealer,Manual,0,15
1.9,3000,Petrol,Individual,Manual,0,9
13.6,29223,Petrol,Dealer,Manual,0,9
1.6,1200,Petrol,Individual,Manual,0,8
0.55,6700,Petrol,Individual,Manual,0,10
18.61,45000,Petrol,Dealer,Manual,0,12
7.2,48767,Petrol,Dealer,Manual,0,10
7.7,40588,Petrol,Dealer,Manual,0,10
0.826,6000,Petrol,Individual,Manual,0,14
9.4,60241,Petrol,Dealer,Manual,0,12
4.43,28282,Petrol,Dealer,Manual,0,10
9.4,49000,Diesel,Dealer,Manual,0,12
10.38,51000,Diesel,Dealer,Manual,0,10
5.9,60000,Petrol,Dealer,Manual,0,10
5.8,19000,Petrol,Dealer,Manual,0,8
6.49,16200,Petrol,Individual,Manual,0,8
6.79,32000,Petrol,Dealer,Automatic,0,12
6.87,42450,Diesel,Dealer,Manual,0,11
1.17,6000,Petrol,Individual,Manual,0,9
7.49,39000,Diesel,Dealer,Manual,0,11
7.13,12479,Petrol,Dealer,Manual,0,8
0.99,14500,Petrol,Individual,Manual,0,13
14.79,43535,Diesel,Dealer,Manual,0,10
13.6,25000,Petrol,Dealer,Manual,0,10
0.87,15000,Petrol,Individual,Manual,0,9
35.96,78000,Diesel,Dealer,Automatic,0,11
0.74,5000,Petrol,Individual,Manual,0,10
0.87,3000,Petrol,Individual,Manual,0,8
6.1,31427,Petrol,Dealer,Manual,0,10
8.89,20273,Diesel,Dealer,Manual,0,9
6.76,71000,Diesel,Dealer,Manual,0,11
8.7,21200,Petrol,Dealer,Manual,0,8
36.23,6000,Diesel,Dealer,Automatic,0,8
2.69,50000,Petrol,Dealer,Manual,0,13
13.6,68000,Diesel,Dealer,Manual,0,10
0.52,15000,Petrol,Individual,Manual,0,8
7.87,24524,Petrol,Dealer,Automatic,0,9
1.47,46500,Petrol,Individual,Manual,0,12
5.9,9800,Petrol,Dealer,Manual,0,12
4.43,12500,Petrol,Dealer,Manual,0,9
0.99,45000,Petrol,Individual,Manual,0,12
3.46,45280,Petrol,Dealer,Manual,0,11
5.8,40023,Petrol,Dealer,Manual,0,10
1.78,6000,Petrol,Individual,Manual,0,9
7.85,40000,Diesel,Dealer,Manual,0,10
5.7,34797,Petrol,Dealer,Automatic,0,10
13.6,22671,Petrol,Dealer,Manual,0,9
7.98,62000,Petrol,Dealer,Manual,0,22
7.13,34000,Petrol,Dealer,Manual,0,11
8.4,12000,Petrol,Dealer,Manual,0,9
7.0,36054,Petrol,Dealer,Manual,0,11
0.58,53000,Petrol,Individual,Manual,0,18
7.21,77427,Petrol,Dealer,Manual,0,16
4.15,65000,Petrol,Dealer,Manual,0,19
22.78,89000,Petrol,Dealer,Automatic,0,17
7.0,40026,Petrol,Dealer,Manual,0,10
4.43,57000,Petrol,Dealer,Manual,0,14
6.8,16500,Petrol,Dealer,Manual,0,11
6.79,58000,Diesel,Dealer,Manual,1,15
0.826,23000,Petrol,Individual,Manual,0,11
8.06,45780,Diesel,Dealer,Manual,0,11
4.43,15000,Petrol,Dealer,Manual,0,9
0.81,19000,Petrol,Individual,Manual,0,13
0.75,60000,Petrol,Individual,Manual,0,17
4.43,38488,Petrol,Dealer,Manual,0,8
5.35,53675,Petrol,Dealer,Manual,0,13
4.15,5200,Petrol,Dealer,Manual,0,14
2.37,21700,Petrol,Individual,Manual,0,10
30.61,135000,Diesel,Individual,Automatic,0,12
0.95,500,Petrol,Individual,Manual,0,9
9.9,48000,Diesel,Dealer,Manual,0,11
9.54,43000,Diesel,Dealer,Manual,0,12
9.29,37000,Petrol,Dealer,Automatic,0,8
14.89,23000,Diesel,Dealer,Manual,0,9
5.7,3493,Petrol,Dealer,Manual,1,9
8.06,45000,Diesel,Dealer,Manual,0,11
16.09,58242,Diesel,Dealer,Manual,0,11
19.77,15000,Diesel,Dealer,Automatic,0,8
7.13,35866,Petrol,Dealer,Manual,1,10
7.71,26000,Petrol,Dealer,Manual,0,10
6.05,47000,Petrol,Dealer,Manual,0,12
0.55,1000,Petrol,Individual,Manual,0,9
13.09,60076,Diesel,Dealer,Manual,0,10
0.81,11800,Petrol,Individual,Manual,0,8
13.6,34000,Petrol,Dealer,Manual,0,10
7.6,7000,Petrol,Dealer,Manual,0,9
10.21,90000,Petrol,Individual,Manual,0,20
30.61,104707,Diesel,Dealer,Automatic,0,13
0.72,38600,Petrol,Individual,Manual,0,10
0.57,55000,Petrol,Individual,Manual,0,20
12.5,9000,Diesel,Dealer,Manual,0,8
0.51,32000,Petrol,Individual,Manual,0,12
0.54,14000,Petrol,Individual,Manual,0,10
6.8,39485,Petrol,Dealer,Manual,1,11
7.71,25870,Petrol,Dealer,Manual,0,10
9.4,15141,Petrol,Dealer,Manual,0,8
6.82,31427,Petrol,Dealer,Automatic,0,10
5.71,2400,Petrol,Dealer,Manual,0,8
0.95,24000,Petrol,Individual,Manual,0,14
13.6,24800,Petrol,Dealer,Manual,0,10
0.57,25000,Petrol,Individual,Manual,1,13
13.6,40324,Petrol,Dealer,Manual,0,10
0.94,24000,Petrol,Individual,Manual,0,9
0.87,11000,Petrol,Individual,Manual,0,8
0.55,31000,Petrol,Individual,Manual,0,9
20.45,50024,Diesel,Dealer,Manual,0,15
13.74,56000,Petrol,Dealer,Manual,0,13
5.7,20114,Petrol,Dealer,Manual,0,8
1.5,6900,Petrol,Individual,Manual,0,14
5.9,5464,Petrol,Dealer,Manual,0,9
3.95,25000,Petrol,Dealer,Manual,0,9
0.57,18000,Petrol,Individual,Manual,0,12
12.48,45000,Diesel,Dealer,Manual,0,14
3.45,16500,Petrol,Individual,Manual,1,11
10.0,69341,Petrol,Dealer,Manual,0,14
1.78,4000,Petrol,Individual,Manual,0,8
